epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.216,1.37652,2.73095,1.28727,0.02149,0.68903,0.16249,0.08417,1.1216,3.11302,1.1425,0.000410156,0.000410156,0.000410156
2,210.064,1.34407,1.99185,1.26544,0.44482,0.44268,0.38058,0.22234,1.22004,2.03298,1.24249,0.000818637,0.000818637,0.000818637
3,312.818,1.30929,1.84401,1.24358,0.43974,0.4942,0.46191,0.26958,1.22922,1.74594,1.27864,0.00121887,0.00121887,0.00121887
4,415.374,1.29914,1.75933,1.24849,0.47713,0.53785,0.48638,0.29831,1.21213,1.81618,1.22666,0.00121287,0.00121287,0.00121287
5,517.909,1.24695,1.67241,1.21981,0.41971,0.55283,0.47702,0.29904,1.24649,1.9263,1.28524,0.0012005,0.0012005,0.0012005
6,620.293,1.23057,1.5681,1.21568,0.53258,0.54396,0.55377,0.35765,1.16725,1.53361,1.24046,0.00118812,0.00118812,0.00118812
7,723.136,1.20798,1.4705,1.19425,0.60824,0.63431,0.6128,0.39601,1.14486,1.38189,1.19181,0.00117575,0.00117575,0.00117575
8,825.485,1.18286,1.44971,1.19197,0.59655,0.67437,0.64527,0.42144,1.13924,1.37205,1.19697,0.00116337,0.00116337,0.00116337
9,928.027,1.15771,1.395,1.17423,0.61013,0.64414,0.6372,0.42581,1.07588,1.38696,1.1661,0.001151,0.001151,0.001151
10,1030.75,1.15602,1.34401,1.17663,0.61672,0.63776,0.64252,0.41458,1.0849,1.33913,1.17624,0.00113863,0.00113863,0.00113863
11,1132.98,1.11353,1.28858,1.1544,0.59872,0.65334,0.66526,0.43164,1.10319,1.3234,1.16479,0.00112625,0.00112625,0.00112625
12,1235.57,1.11574,1.24371,1.14322,0.64111,0.67551,0.6875,0.43953,1.09505,1.26334,1.18951,0.00111388,0.00111388,0.00111388
13,1338.31,1.10834,1.2143,1.13399,0.68648,0.64973,0.68791,0.45014,1.06792,1.23902,1.16507,0.0011015,0.0011015,0.0011015
14,1440.85,1.08403,1.19186,1.13187,0.70409,0.61555,0.68893,0.45049,1.09813,1.24617,1.18273,0.00108913,0.00108913,0.00108913
15,1543.23,1.05498,1.15705,1.11618,0.70198,0.6604,0.70848,0.47185,1.07993,1.20484,1.16547,0.00107675,0.00107675,0.00107675
16,1645.74,1.04928,1.11566,1.11143,0.59316,0.6756,0.66257,0.43415,1.08796,1.28031,1.17878,0.00106437,0.00106437,0.00106437
17,1748.01,1.03794,1.10347,1.10699,0.6987,0.64889,0.67129,0.4387,1.08037,1.27731,1.17785,0.001052,0.001052,0.001052
18,1963.04,1.02307,1.07393,1.08676,0.65934,0.60934,0.67691,0.44781,1.09064,1.26161,1.18138,0.00103962,0.00103962,0.00103962
19,2207.28,0.99886,1.06478,1.09982,0.65075,0.72861,0.71682,0.47469,1.06102,1.20247,1.15003,0.00102725,0.00102725,0.00102725
20,2450.35,1.01881,1.04884,1.10013,0.74546,0.64418,0.74143,0.49044,1.07564,1.13952,1.16734,0.00101488,0.00101488,0.00101488
21,2694.58,1.00139,1.0062,1.08505,0.74319,0.64326,0.7073,0.47529,1.03825,1.23334,1.14417,0.0010025,0.0010025,0.0010025
22,2936.7,0.98883,1.00135,1.0841,0.67883,0.71034,0.72131,0.48882,1.05295,1.12623,1.1656,0.000990125,0.000990125,0.000990125
23,3177.67,0.98363,0.98799,1.07726,0.70286,0.67108,0.70628,0.48512,1.0583,1.15189,1.15333,0.00097775,0.00097775,0.00097775
24,3420.93,0.98905,0.97971,1.07935,0.72965,0.71569,0.75646,0.51114,1.02935,1.03878,1.14167,0.000965375,0.000965375,0.000965375
25,3661.98,0.96977,0.94615,1.07323,0.66075,0.71028,0.72708,0.50566,1.03006,1.10029,1.14846,0.000953,0.000953,0.000953
26,3905.31,0.96766,0.92837,1.06939,0.64292,0.73367,0.75291,0.51476,1.03604,1.09801,1.15055,0.000940625,0.000940625,0.000940625
27,4148.72,0.93309,0.90513,1.06059,0.72482,0.70167,0.75443,0.51336,1.03811,1.11745,1.15074,0.00092825,0.00092825,0.00092825
28,4391.01,0.94929,0.91008,1.05445,0.68932,0.73932,0.75689,0.51725,1.0291,1.11476,1.1451,0.000915875,0.000915875,0.000915875
